Date.34,year,month,day,"housing starts, country1"
2021-04-01,2021.0,4.0,1.0,1637058.84
2021-03-01,2021.0,3.0,1.0,1596820.7
2021-02-01,2021.0,2.0,1.0,1541290.86
2021-01-01,2021.0,1.0,1.0,
2020-12-01,2020.0,12.0,1.0,1853551.38
2020-11-01,2020.0,11.0,1.0,1804882.6
2020-10-01,2020.0,10.0,1.0,1760267.92
2020-09-01,2020.0,9.0,1.0,1719673.54
2020-08-01,2020.0,8.0,1.0,1679500.2
2020-07-01,2020.0,7.0,1.0,1636592.42
2020-06-01,2020.0,6.0,1.0,1585475.36
2020-05-01,2020.0,5.0,1.0,1525288.5
2020-04-01,2020.0,4.0,1.0,1481168.46
2020-03-01,2020.0,3.0,1.0,1435805.82
2020-02-01,2020.0,2.0,1.0,1388515.4
2020-01-01,2020.0,1.0,1.0,
2019-12-01,2019.0,12.0,1.0,1787674.78
2019-11-01,2019.0,11.0,1.0,1749660.86
2019-10-01,2019.0,10.0,1.0,1709796.6
2019-09-01,2019.0,9.0,1.0,1668435.36
2019-08-01,2019.0,8.0,1.0,1626345.98
2019-07-01,2019.0,7.0,1.0,1588447.96
2019-06-01,2019.0,6.0,1.0,1544617.84
2019-05-01,2019.0,5.0,1.0,1490604.34
2019-04-01,2019.0,4.0,1.0,1445171.46
2019-03-01,2019.0,3.0,1.0,1398921.44
2019-02-01,2019.0,2.0,1.0,1349924.88
2019-01-01,2019.0,1.0,1.0,
2018-12-01,2018.0,12.0,1.0,1644633.48
2018-11-01,2018.0,11.0,1.0,1609805.02
2018-10-01,2018.0,10.0,1.0,1568882.3
2018-09-01,2018.0,9.0,1.0,1534468.9
2018-08-01,2018.0,8.0,1.0,1495349.96
2018-07-01,2018.0,7.0,1.0,1457219.66
2018-06-01,2018.0,6.0,1.0,1419331.84
2018-05-01,2018.0,5.0,1.0,1370015.24
2018-04-01,2018.0,4.0,1.0,1328852.64
2018-03-01,2018.0,3.0,1.0,1293144.06
2018-02-01,2018.0,2.0,1.0,1264036.12
2018-01-01,2018.0,1.0,1.0,
2017-12-01,2017.0,12.0,1.0,1563000.46
2017-11-01,2017.0,11.0,1.0,1536918.38
2017-10-01,2017.0,10.0,1.0,1504700.38
2017-09-01,2017.0,9.0,1.0,1476162.06
2017-08-01,2017.0,8.0,1.0,1443594.2
2017-07-01,2017.0,7.0,1.0,1414658.62
2017-06-01,2017.0,6.0,1.0,1384684.88
2017-05-01,2017.0,5.0,1.0,1342909.46
2017-04-01,2017.0,4.0,1.0,1308140.14
2017-03-01,2017.0,3.0,1.0,1273987.02
2017-02-01,2017.0,2.0,1.0,1245933.58
2017-01-01,2017.0,1.0,1.0,
2016-12-01,2016.0,12.0,1.0,1517983.0
2016-11-01,2016.0,11.0,1.0,1490276.52
2016-10-01,2016.0,10.0,1.0,1461994.62
2016-09-01,2016.0,9.0,1.0,1432090.76
2016-08-01,2016.0,8.0,1.0,1400274.96
2016-07-01,2016.0,7.0,1.0,1371244.36
2016-06-01,2016.0,6.0,1.0,1339533.98
2016-05-01,2016.0,5.0,1.0,1302709.22
2016-04-01,2016.0,4.0,1.0,1268555.14
2016-03-01,2016.0,3.0,1.0,1235983.42
2016-02-01,2016.0,2.0,1.0,1207120.44
2016-01-01,2016.0,1.0,1.0,
2015-12-01,2015.0,12.0,1.0,1471419.74
2015-11-01,2015.0,11.0,1.0,1448012.84
2015-10-01,2015.0,10.0,1.0,1415643.12
2015-09-01,2015.0,9.0,1.0,1387337.12
2015-08-01,2015.0,8.0,1.0,1338752.38
2015-07-01,2015.0,7.0,1.0,1308377.96
2015-06-01,2015.0,6.0,1.0,1275159.0
2015-05-01,2015.0,5.0,1.0,1233839.12
2015-04-01,2015.0,4.0,1.0,1199193.84
2015-03-01,2015.0,3.0,1.0,1168069.76
2015-02-01,2015.0,2.0,1.0,1140226.56
2015-01-01,2015.0,1.0,1.0,
2014-12-01,2014.0,12.0,1.0,1452997.68
2014-11-01,2014.0,11.0,1.0,1422647.88
2014-10-01,2014.0,10.0,1.0,1384297.6
2014-09-01,2014.0,9.0,1.0,1346492.96
2014-08-01,2014.0,8.0,1.0,1305938.0
2014-07-01,2014.0,7.0,1.0,1265402.84
2014-06-01,2014.0,6.0,1.0,1222844.28
2014-05-01,2014.0,5.0,1.0,1172194.82
